Stream_ID,Component,Mass_flow_rate_kg/hr
10,EB,5631.4161
10,OX,6699.4857
10,MX,11306.3845
10,PX,5554.03041
10,C9S,60.1002337
10,C9P,2.81259286
10,C9N,0.450572399
10,C9-5,41.3602749
14,EB,192.724153
14,OX,163.882519
14,MX,331.172773
14,PX,169.528944
14,C9S,0.304245545
14,C9P,0.0713589471
14,C9N,0.0135892348
14,C9-5,0.714765908
