Stream_ID,Component,Mass_flow_rate_kg/hr
10,EB,10291.9355
10,OX,4816.77941
10,MX,9472.40101
10,PX,5389.08764
10,TOL,16767.4239
10,MEBZ,939.107554
10,TMBZ,20085.9062
10,PDEB,0.0
10,TETRAMBZ,9645.25189
10,C11,0.0
10,C11A,533.724048
Total,Total,77941.617152
Aromatic Yield,Aromatic Yield,0.654736054793601
