Stream_ID,Component,Mass_flow_rate_kg/hr
10,EB,6189.61457
10,OX,6307.4128
10,MX,11174.1018
10,PX,5737.40791
10,TOL,18056.0998
10,TMBZ,21654.1909
10,TETRAMBZ,12581.4512
14,EB,213.94699
14,OX,155.742032
14,MX,330.570564
14,PX,176.901649
14,TOL,1681.738
14,TMBZ,135.660597
14,TETRAMBZ,20.9491248
