Stream_ID,Component,Mass_flow_rate_kg/hr
10,EB,2995.05556
10,OX,7688.31893
10,MX,11919.6472
10,PX,4766.77167
10,TOL,16756.5977
10,MEBZ,940.000159
10,TMBZ,21292.7893
10,PDEB,0.0
10,TETRAMBZ,12663.998
10,C11,0.0
10,C11A,1796.24832
Total,Total,80819.426839
Aromatic Yield,Aromatic Yield,0.6789106335329496
