Stream_ID,Component,Mass_flow_rate_kg/hr
10,EB,4986.02614
10,OX,5273.13999
10,MX,12188.0174
10,PX,6735.15041
10,TOL,18039.298
10,TMBZ,21721.5015
10,TETRAMBZ,12731.8583
14,EB,172.061114
14,OX,130.024445
14,MX,359.96622
14,PX,207.305908
14,TOL,1678.50793
14,TMBZ,135.894677
14,TETRAMBZ,21.1647837
